City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Fernandez,AR,64.11,overcast clouds,-27.9204,-63.8935,Cordoba Hunting
357,San Cristobal,VE,77.18,few clouds,7.7669,-72.225,Posada Villaven C.A.
360,Yangambi,CD,83.75,light rain,0.8102,24.4336,
361,Montepuez,MZ,85.33,clear sky,-13.1256,38.9997,PembaAparthotel
362,Hartford,US,65.07,overcast clouds,41.7668,-72.7662,West Hartford Inn
363,Payo,ID,78.06,overcast clouds,-3.7508,103.6372,Mess keban agung
364,Newport,GB,65.68,overcast clouds,51.5877,-2.9984,ibis budget Newport
366,Nelson Bay,AU,68.05,clear sky,-32.7167,152.15,Mantra Nelson Bay
367,Mulchen,CL,62.46,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
368,Mbandaka,CD,86.47,overcast clouds,0.0487,18.2603,Guest House Epervier
371,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
372,Hasaki,JP,68.4,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
374,Tabou,CI,80.76,light rain,4.423,-7.3528,hotêl doufoulougou
375,Aquiraz,BR,89.22,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
376,Yarim,YE,61.16,broken clouds,14.298,44.3779,وليد المسوري ابو اسد
377,Flinders,AU,64.8,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
380,Saint-Joseph,RE,70.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
383,Llano Largo,PA,83.05,overcast clouds,7.9,-80.4333,Paradise Resort Hotel
385,Darab,IR,82.0,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
386,Sao Filipe,CV,81.05,few clouds,14.8961,-24.4956,Hotel Xaguate
391,Charters Towers,AU,68.16,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
392,Wenling,CN,75.9,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
393,Panaba,MX,86.05,overcast clouds,21.2833,-88.2667,Posada rosario
394,Shingu,JP,71.51,scattered clouds,33.7333,135.9833,Shingu UI Hotel
397,Escanaba,US,65.25,overcast clouds,45.7453,-87.0646,Sunset Lodge
399,General Pico,AR,67.62,clear sky,-35.6566,-63.7568,Euskadi Hotel
402,Daru,PG,79.45,scattered clouds,-9.0763,143.2092,Daru Lodge
406,Hauterive,FR,60.1,scattered clouds,46.0901,3.4459,Aletti Palace Hotel
408,Luba,GQ,75.09,light rain,3.4568,8.5547,
409,Chuy,UY,64.8,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
412,Hervey Bay,AU,71.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
413,Peniche,PT,79.75,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
414,Arboletes,CO,83.08,overcast clouds,8.8505,-76.4269,Hotel Playa Star
416,Mahibadhoo,MV,83.59,light rain,3.7833,72.9667,Omadhoo Inn
417,Margate,GB,63.97,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
418,Benghazi,LY,79.47,clear sky,32.1167,20.0667,Tibesti Hotel
419,Karera,IN,80.94,clear sky,25.4667,78.15,Devansh Tripathi devu
420,Terra Roxa,BR,69.49,light rain,-23.8557,-50.0314,
421,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
422,Tiznit,MA,82.11,overcast clouds,29.5833,-9.5,
423,Richards Bay,ZA,69.78,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
426,Mercedes,AR,69.78,clear sky,-34.6515,-59.4307,Posada del Inti Centro
427,Carutapera,BR,86.95,overcast clouds,-1.195,-46.02,Lidera
428,Buta,CD,88.77,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
429,Plettenberg Bay,ZA,62.22,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
431,Vallenar,CL,67.33,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
433,Nuevo Progreso,MX,83.53,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
435,Manggar,ID,81.68,clear sky,-2.8833,108.2667,Guest Hotel
436,Monjas,GT,77.38,overcast clouds,14.5,-89.8667,Hotel el viajero
437,Huarmey,PE,67.6,broken clouds,-10.0681,-78.1522,Hotel Miramar
438,Omemee,CA,64.51,overcast clouds,44.299,-78.5599,Beaver Narrows | A Parkbridge Cottage & RV Resort
441,Coronado,US,64.08,broken clouds,32.6859,-117.1831,El Cordova Hotel
443,Teknaf,BD,80.78,scattered clouds,20.8624,92.3058,Forestry Guesthouse
445,Faanui,PF,77.54,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
449,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
450,Marang,MY,82.31,overcast clouds,5.2056,103.2059,DBarakah Homestay
