City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
160,Magaria,NE,12.9983,8.9099,97.57,11,100,8.43,overcast clouds,2021-10-09 15:28:09
161,Sinnamary,GF,5.3833,-52.95,87.69,62,100,8.77,overcast clouds,2021-10-09 15:28:10
162,Victoria,HK,22.2855,114.1577,79.32,94,100,1.01,moderate rain,2021-10-09 15:26:37
163,Seoul,KR,37.5683,126.9778,71.04,94,0,2.3,clear sky,2021-10-09 15:25:28
164,Chokurdakh,RU,70.6333,147.9167,1.02,100,98,4.52,overcast clouds,2021-10-09 15:24:00
165,Bereda,ES,43.2686,-7.5406,68.0,59,79,8.37,broken clouds,2021-10-09 15:28:12
166,Tarauaca,BR,-8.1614,-70.7656,92.17,47,93,3.98,overcast clouds,2021-10-09 15:28:12
167,Itarema,BR,-2.9248,-39.9167,88.14,57,43,18.86,scattered clouds,2021-10-09 15:25:35
168,Pemangkat,ID,1.1667,108.9667,82.2,78,49,11.16,scattered clouds,2021-10-09 15:28:13
169,Kasama,ZM,-10.2129,31.1808,90.84,14,35,7.65,scattered clouds,2021-10-09 15:28:13
170,Aasiaat,GL,68.7098,-52.8699,23.49,68,100,7.81,overcast clouds,2021-10-09 15:28:13
171,Bubaque,GW,11.2833,-15.8333,83.12,73,100,8.5,overcast clouds,2021-10-09 15:28:14
172,Lardos,GR,36.0942,28.0157,78.62,63,0,6.8,clear sky,2021-10-09 15:28:14
173,Constitucion,CL,-35.3333,-72.4167,58.69,67,1,5.88,clear sky,2021-10-09 15:28:15
174,Tocopilla,CL,-22.092,-70.1979,65.93,70,23,10.0,few clouds,2021-10-09 15:28:16
175,Pravdinsk,RU,54.4429,21.0179,51.64,46,92,2.26,overcast clouds,2021-10-09 15:28:16
176,Satrikh,IN,26.8667,81.2,82.47,59,0,5.21,clear sky,2021-10-09 15:28:17
177,Chicama,PE,-7.8447,-79.1469,59.54,70,74,6.69,broken clouds,2021-10-09 15:28:17
178,Shache,CN,38.4167,77.2406,52.5,25,27,9.31,scattered clouds,2021-10-09 15:28:18
179,Leshukonskoye,RU,64.8989,45.7622,34.09,89,100,1.36,overcast clouds,2021-10-09 15:28:18
180,Lebowakgomo,ZA,-24.2,29.5,86.9,16,28,7.29,scattered clouds,2021-10-09 15:28:18
181,Egvekinot,RU,66.3167,-179.1667,18.57,86,100,9.91,overcast clouds,2021-10-09 15:26:11
182,Portland,US,45.5234,-122.6762,50.9,89,75,3.0,broken clouds,2021-10-09 15:26:01
183,Northam,GB,51.0333,-4.2167,64.72,82,100,2.68,overcast clouds,2021-10-09 15:28:19
184,Boyolangu,ID,-8.1181,111.8935,75.02,91,74,4.92,broken clouds,2021-10-09 15:26:13
185,Luwuk,ID,-0.9516,122.7875,78.01,80,100,3.71,overcast clouds,2021-10-09 15:28:19
186,Itoman,JP,26.1247,127.6694,82.42,78,20,11.5,few clouds,2021-10-09 15:28:20
187,Kalmunai,LK,7.4167,81.8167,83.25,71,100,2.15,light rain,2021-10-09 15:28:20
188,Nanortalik,GL,60.1432,-45.2371,38.68,76,21,5.03,few clouds,2021-10-09 15:24:32
189,Jinchang,CN,38.4953,102.1739,42.4,26,33,3.87,scattered clouds,2021-10-09 15:28:21
190,Te Anau,NZ,-45.4167,167.7167,40.28,92,19,0.67,few clouds,2021-10-09 15:23:40
191,Bayir,TR,37.2687,28.2167,76.03,51,0,5.61,clear sky,2021-10-09 15:28:22
192,College,US,64.8569,-147.8028,35.55,91,90,0.0,light snow,2021-10-09 15:25:34
193,Abay,KZ,49.6311,72.8539,32.38,56,12,1.77,few clouds,2021-10-09 15:28:23
194,Banjarmasin,ID,-3.3244,114.591,78.94,86,81,3.02,broken clouds,2021-10-09 15:28:23
195,Pontes E Lacerda,BR,-15.2261,-59.3353,99.34,31,24,6.44,few clouds,2021-10-09 15:28:24
196,Cidreira,BR,-30.1811,-50.2056,63.41,84,100,19.91,overcast clouds,2021-10-09 15:24:44
197,Provideniya,RU,64.3833,-173.3,29.23,83,99,5.79,overcast clouds,2021-10-09 15:24:20
198,Barrow,US,71.2906,-156.7887,30.22,69,90,11.5,overcast clouds,2021-10-09 15:20:02
199,Norman Wells,CA,65.282,-126.8329,23.04,93,75,4.61,broken clouds,2021-10-09 15:24:13
200,Dingle,PH,10.9995,122.6711,74.34,95,96,8.9,moderate rain,2021-10-09 15:26:11
201,Prince Rupert,CA,54.3161,-130.3201,47.89,89,90,5.75,light rain,2021-10-09 15:24:03
